,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
35,A2,4.31050000000,R1,9,2040,R1,residential,heatpump,retrofit,2045
3,A1,2.06070000000,R1,1,2025,R1,power,gasCCGT,retrofit,2045
17,A1,1.80330000000,R1,22,2020,R1,power,windturbine,retrofit,2045
18,A1,1.16670000000,R1,23,2030,R1,power,windturbine,retrofit,2045
19,A1,1.72670000000,R1,24,2035,R1,power,windturbine,retrofit,2045
20,A1,2.33830000000,R1,25,2040,R1,power,windturbine,retrofit,2045
0,A1,2.51500000000,R1,0,2035,R1,gas,gassupply1,retrofit,2045
1,A1,4.14220000000,R1,1,2040,R1,gas,gassupply1,retrofit,2045
1,A1,0.77890000000,R1,1,2045,R1,residential,gasboiler,retrofit,2050
12,A1,1.84740000000,R1,16,2040,R1,residential,heatpump,retrofit,2050
13,A1,2.11050000000,R1,17,2045,R1,residential,heatpump,retrofit,2050
30,A2,4.31050000000,R1,8,2040,R1,residential,heatpump,retrofit,2050
31,A2,6.74210000000,R1,9,2045,R1,residential,heatpump,retrofit,2050
1,A1,2.06070000000,R1,1,2025,R1,power,gasCCGT,retrofit,2050
13,A1,1.16670000000,R1,20,2030,R1,power,windturbine,retrofit,2050
14,A1,1.72670000000,R1,21,2035,R1,power,windturbine,retrofit,2050
15,A1,2.33830000000,R1,22,2040,R1,power,windturbine,retrofit,2050
16,A1,4.39170000000,R1,23,2045,R1,power,windturbine,retrofit,2050
0,A1,4.14220000000,R1,0,2040,R1,gas,gassupply1,retrofit,2050
1,A1,0.25300000000,R1,1,2045,R1,gas,gassupply1,retrofit,2050
1,A1,0.77890000000,R1,1,2045,R1,residential,gasboiler,retrofit,2055
9,A1,2.11050000000,R1,14,2045,R1,residential,heatpump,retrofit,2055
10,A1,1.84740000000,R1,15,2050,R1,residential,heatpump,retrofit,2055
26,A2,6.74210000000,R1,7,2045,R1,residential,heatpump,retrofit,2055
27,A2,4.31050000000,R1,8,2050,R1,residential,heatpump,retrofit,2055
3,A1,2.06070000000,R1,1,2025,R1,power,gasCCGT,retrofit,2055
13,A1,1.16670000000,R1,22,2030,R1,power,windturbine,retrofit,2055
14,A1,1.72670000000,R1,23,2035,R1,power,windturbine,retrofit,2055
15,A1,2.33830000000,R1,24,2040,R1,power,windturbine,retrofit,2055
16,A1,4.39170000000,R1,25,2045,R1,power,windturbine,retrofit,2055
0,A1,0.25300000000,R1,0,2045,R1,gas,gassupply1,retrofit,2055
1,A1,4.14220000000,R1,1,2050,R1,gas,gassupply1,retrofit,2055
5,A1,1.84740000000,R1,7,2050,R1,residential,heatpump,retrofit,2060
6,A1,2.88950000000,R1,8,2055,R1,residential,heatpump,retrofit,2060
20,A2,4.31050000000,R1,7,2050,R1,residential,heatpump,retrofit,2060
21,A2,6.74210000000,R1,8,2055,R1,residential,heatpump,retrofit,2060
1,A1,2.06070000000,R1,1,2025,R1,power,gasCCGT,retrofit,2060
7,A1,1.72670000000,R1,22,2035,R1,power,windturbine,retrofit,2060
8,A1,2.33830000000,R1,23,2040,R1,power,windturbine,retrofit,2060
9,A1,4.39170000000,R1,24,2045,R1,power,windturbine,retrofit,2060
10,A1,1.90670000000,R1,25,2055,R1,power,windturbine,retrofit,2060
0,A1,4.14220000000,R1,0,2050,R1,gas,gassupply1,retrofit,2060
