,timeslice,region,installed,technology,year,agent,category,sector,emission_costs
135,"('all-year', 'all-week', 'early-peak')",R1,2020,gasCCGT,2025,A1,retrofit,power,0.52426393845
136,"('all-year', 'all-week', 'early-peak')",R1,2025,gasCCGT,2025,A1,retrofit,power,0.00000000000
137,"('all-year', 'all-week', 'early-peak')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
138,"('all-year', 'all-week', 'late-peak')",R1,2020,gasCCGT,2025,A1,retrofit,power,1.04852787690
139,"('all-year', 'all-week', 'late-peak')",R1,2025,gasCCGT,2025,A1,retrofit,power,0.00000000000
140,"('all-year', 'all-week', 'late-peak')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
141,"('all-year', 'all-week', 'evening')",R1,2020,gasCCGT,2025,A1,retrofit,power,0.69901858460
142,"('all-year', 'all-week', 'evening')",R1,2025,gasCCGT,2025,A1,retrofit,power,0.00000000000
143,"('all-year', 'all-week', 'evening')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
144,"('all-year', 'all-week', 'night')",R1,2020,gassupply1,2025,A1,newcapa,gas,0.00000000000
145,"('all-year', 'all-week', 'night')",R1,2020,gassupply2,2025,A1,newcapa,gas,0.00000000000
146,"('all-year', 'all-week', 'morning')",R1,2020,gassupply1,2025,A1,newcapa,gas,0.00000000000
147,"('all-year', 'all-week', 'morning')",R1,2020,gassupply2,2025,A1,newcapa,gas,0.00000000000
148,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply1,2025,A1,newcapa,gas,0.00000000000
149,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply2,2025,A1,newcapa,gas,0.00000000000
150,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply1,2025,A1,newcapa,gas,0.00000000000
151,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply2,2025,A1,newcapa,gas,0.00000000000
152,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply1,2025,A1,newcapa,gas,0.00000000000
153,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply2,2025,A1,newcapa,gas,0.00000000000
154,"('all-year', 'all-week', 'evening')",R1,2020,gassupply1,2025,A1,newcapa,gas,0.00000000000
155,"('all-year', 'all-week', 'evening')",R1,2020,gassupply2,2025,A1,newcapa,gas,0.00000000000
156,"('all-year', 'all-week', 'night')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.08970141872
157,"('all-year', 'all-week', 'night')",R1,2020,gassupply2,2025,A1,retrofit,gas,0.03698196305
158,"('all-year', 'all-week', 'night')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
159,"('all-year', 'all-week', 'morning')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.13455212808
160,"('all-year', 'all-week', 'morning')",R1,2020,gassupply2,2025,A1,retrofit,gas,0.05547294457
161,"('all-year', 'all-week', 'morning')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
162,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.08970141872
163,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply2,2025,A1,retrofit,gas,0.03698196305
164,"('all-year', 'all-week', 'afternoon')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
165,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.13455212808
166,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply2,2025,A1,retrofit,gas,0.05547294457
167,"('all-year', 'all-week', 'early-peak')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
168,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.26910425617
169,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply2,2025,A1,retrofit,gas,0.11094588914
170,"('all-year', 'all-week', 'late-peak')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
171,"('all-year', 'all-week', 'evening')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.17940283744
172,"('all-year', 'all-week', 'evening')",R1,2020,gassupply2,2025,A1,retrofit,gas,0.07396392609
173,"('all-year', 'all-week', 'evening')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
174,"('all-year', 'all-week', 'night')",R1,2030,gasboiler,2030,A1,newcapa,residential,0.00000000000
175,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
176,"('all-year', 'all-week', 'morning')",R1,2030,gasboiler,2030,A1,newcapa,residential,0.00000000000
177,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
178,"('all-year', 'all-week', 'afternoon')",R1,2030,gasboiler,2030,A1,newcapa,residential,0.00000000000
179,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
180,"('all-year', 'all-week', 'early-peak')",R1,2030,gasboiler,2030,A1,newcapa,residential,0.00000000000
181,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
182,"('all-year', 'all-week', 'late-peak')",R1,2030,gasboiler,2030,A1,newcapa,residential,0.00000000000
183,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
184,"('all-year', 'all-week', 'evening')",R1,2030,gasboiler,2030,A1,newcapa,residential,0.00000000000
185,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
186,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.25362212835
187,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2030,A1,retrofit,residential,0.49173385934
188,"('all-year', 'all-week', 'night')",R1,2025,heatpump,2030,A1,retrofit,residential,0.00000000000
189,"('all-year', 'all-week', 'night')",R1,2030,gasboiler,2030,A1,retrofit,residential,0.00000000000
190,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
191,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.38043319252
192,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2030,A1,retrofit,residential,0.73760078901
193,"('all-year', 'all-week', 'morning')",R1,2025,heatpump,2030,A1,retrofit,residential,0.00000000000
194,"('all-year', 'all-week', 'morning')",R1,2030,gasboiler,2030,A1,retrofit,residential,0.00000000000
195,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
196,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.25362212835
197,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2030,A1,retrofit,residential,0.49173385934
198,"('all-year', 'all-week', 'afternoon')",R1,2025,heatpump,2030,A1,retrofit,residential,0.00000000000
199,"('all-year', 'all-week', 'afternoon')",R1,2030,gasboiler,2030,A1,retrofit,residential,0.00000000000
200,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
201,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.38043319252
202,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2030,A1,retrofit,residential,0.73760078901
203,"('all-year', 'all-week', 'early-peak')",R1,2025,heatpump,2030,A1,retrofit,residential,0.00000000000
204,"('all-year', 'all-week', 'early-peak')",R1,2030,gasboiler,2030,A1,retrofit,residential,0.00000000000
205,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
206,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.76086638505
207,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2030,A1,retrofit,residential,1.47520157803
208,"('all-year', 'all-week', 'late-peak')",R1,2025,heatpump,2030,A1,retrofit,residential,0.00000000000
209,"('all-year', 'all-week', 'late-peak')",R1,2030,gasboiler,2030,A1,retrofit,residential,0.00000000000
210,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
211,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.50724425670
212,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2030,A1,retrofit,residential,0.98346771869
213,"('all-year', 'all-week', 'evening')",R1,2025,heatpump,2030,A1,retrofit,residential,0.00000000000
214,"('all-year', 'all-week', 'evening')",R1,2030,gasboiler,2030,A1,retrofit,residential,0.00000000000
215,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
216,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
217,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
218,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
219,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
220,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
221,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
222,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2030,A2,retrofit,residential,0.00000004480
223,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2030,A2,retrofit,residential,0.00000000000
224,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2030,A2,retrofit,residential,0.94072582443
225,"('all-year', 'all-week', 'night')",R1,2025,heatpump,2030,A2,retrofit,residential,0.00000000000
226,"('all-year', 'all-week', 'night')",R1,2030,gasboiler,2030,A2,retrofit,residential,0.00000000000
227,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
228,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2030,A2,retrofit,residential,0.00000006719
229,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2030,A2,retrofit,residential,0.00000000000
230,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2030,A2,retrofit,residential,1.41108873665
231,"('all-year', 'all-week', 'morning')",R1,2025,heatpump,2030,A2,retrofit,residential,0.00000000000
232,"('all-year', 'all-week', 'morning')",R1,2030,gasboiler,2030,A2,retrofit,residential,0.00000000000
233,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
234,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2030,A2,retrofit,residential,0.00000004480
235,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2030,A2,retrofit,residential,0.00000000000
236,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2030,A2,retrofit,residential,0.94072582443
237,"('all-year', 'all-week', 'afternoon')",R1,2025,heatpump,2030,A2,retrofit,residential,0.00000000000
238,"('all-year', 'all-week', 'afternoon')",R1,2030,gasboiler,2030,A2,retrofit,residential,0.00000000000
239,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
240,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2030,A2,retrofit,residential,0.00000006719
241,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2030,A2,retrofit,residential,0.00000000000
242,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2030,A2,retrofit,residential,1.41108873665
243,"('all-year', 'all-week', 'early-peak')",R1,2025,heatpump,2030,A2,retrofit,residential,0.00000000000
244,"('all-year', 'all-week', 'early-peak')",R1,2030,gasboiler,2030,A2,retrofit,residential,0.00000000000
245,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
246,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2030,A2,retrofit,residential,0.00000013439
247,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2030,A2,retrofit,residential,0.00000000000
248,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2030,A2,retrofit,residential,2.82217747329
249,"('all-year', 'all-week', 'late-peak')",R1,2025,heatpump,2030,A2,retrofit,residential,0.00000000000
250,"('all-year', 'all-week', 'late-peak')",R1,2030,gasboiler,2030,A2,retrofit,residential,0.00000000000
251,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
252,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2030,A2,retrofit,residential,0.00000008959
253,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2030,A2,retrofit,residential,0.00000000000
254,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2030,A2,retrofit,residential,1.88145164886
255,"('all-year', 'all-week', 'evening')",R1,2025,heatpump,2030,A2,retrofit,residential,0.00000000000
256,"('all-year', 'all-week', 'evening')",R1,2030,gasboiler,2030,A2,retrofit,residential,0.00000000000
257,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
258,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2030,A1,newcapa,power,0.00000000000
259,"('all-year', 'all-week', 'night')",R1,2025,gasCCGT,2030,A1,newcapa,power,0.00000000000
