timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
4,heat,R1,2025,7,all-year,all-week,late-peak,heatpump,2020,1.11620000000
4,heat,R2,2020,4,all-year,all-week,late-peak,gasboiler,2020,1.07150000000
4,heat,R2,2020,5,all-year,all-week,late-peak,gasboiler,2020,1.07150000000
4,heat,R2,2025,4,all-year,all-week,late-peak,gasboiler,2020,0.31250000000
4,heat,R2,2025,5,all-year,all-week,late-peak,gasboiler,2020,0.31250000000
4,heat,R2,2025,6,all-year,all-week,late-peak,heatpump,2020,1.11620000000
4,heat,R2,2025,7,all-year,all-week,late-peak,heatpump,2020,1.11620000000
4,CO2f,R1,2020,2,all-year,all-week,late-peak,gas_stove,2020,53.57500000000
4,CO2f,R1,2020,3,all-year,all-week,late-peak,gas_stove,2020,53.57500000000
4,CO2f,R1,2020,4,all-year,all-week,late-peak,gasboiler,2020,69.33680000000
4,CO2f,R1,2020,5,all-year,all-week,late-peak,gasboiler,2020,69.33680000000
4,CO2f,R1,2025,2,all-year,all-week,late-peak,gas_stove,2020,15.62500000000
4,CO2f,R1,2025,3,all-year,all-week,late-peak,gas_stove,2020,15.62500000000
4,CO2f,R1,2025,4,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R1,2025,5,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R2,2020,2,all-year,all-week,late-peak,gas_stove,2020,53.57500000000
4,CO2f,R2,2020,3,all-year,all-week,late-peak,gas_stove,2020,53.57500000000
4,CO2f,R2,2020,4,all-year,all-week,late-peak,gasboiler,2020,69.33680000000
4,CO2f,R2,2020,5,all-year,all-week,late-peak,gasboiler,2020,69.33680000000
4,CO2f,R2,2025,2,all-year,all-week,late-peak,gas_stove,2020,15.62500000000
4,CO2f,R2,2025,3,all-year,all-week,late-peak,gas_stove,2020,15.62500000000
4,CO2f,R2,2025,4,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,CO2f,R2,2025,5,all-year,all-week,late-peak,gasboiler,2020,20.22190000000
4,cook,R1,2020,2,all-year,all-week,late-peak,gas_stove,2020,1.07150000000
4,cook,R1,2020,3,all-year,all-week,late-peak,gas_stove,2020,1.07150000000
4,cook,R1,2025,0,all-year,all-week,late-peak,estove,2020,1.11620000000
4,cook,R1,2025,1,all-year,all-week,late-peak,estove,2020,1.11620000000
4,cook,R1,2025,2,all-year,all-week,late-peak,gas_stove,2020,0.31250000000
4,cook,R1,2025,3,all-year,all-week,late-peak,gas_stove,2020,0.31250000000
4,cook,R2,2020,2,all-year,all-week,late-peak,gas_stove,2020,1.07150000000
4,cook,R2,2020,3,all-year,all-week,late-peak,gas_stove,2020,1.07150000000
4,cook,R2,2025,0,all-year,all-week,late-peak,estove,2020,1.11620000000
4,cook,R2,2025,1,all-year,all-week,late-peak,estove,2020,1.11620000000
4,cook,R2,2025,2,all-year,all-week,late-peak,gas_stove,2020,0.31250000000
4,cook,R2,2025,3,all-year,all-week,late-peak,gas_stove,2020,0.31250000000
5,heat,R1,2020,4,all-year,all-week,evening,gasboiler,2020,0.71450000000
5,heat,R1,2020,5,all-year,all-week,evening,gasboiler,2020,0.71450000000
5,heat,R1,2025,4,all-year,all-week,evening,gasboiler,2020,0.20840000000
5,heat,R1,2025,5,all-year,all-week,evening,gasboiler,2020,0.20840000000
5,heat,R1,2025,6,all-year,all-week,evening,heatpump,2020,0.74430000000
5,heat,R1,2025,7,all-year,all-week,evening,heatpump,2020,0.74430000000
5,heat,R2,2020,4,all-year,all-week,evening,gasboiler,2020,0.71450000000
