commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,morning,all-year,R1,0.83820000000,1,MUS$2010/PJ,2024
heat,all-week,morning,all-year,R1,1.26670000000,1,MUS$2010/PJ,2024
CO2f,all-week,morning,all-year,R1,46.38670000000,1,MUS$2010/kt,2024
electricity,all-week,mid-afternoon,all-year,R1,0.25330000000,2,MUS$2010/PJ,2024
gas,all-week,mid-afternoon,all-year,R1,0.58680000000,2,MUS$2010/PJ,2024
heat,all-week,mid-afternoon,all-year,R1,0.88670000000,2,MUS$2010/PJ,2024
CO2f,all-week,mid-afternoon,all-year,R1,32.47070000000,2,MUS$2010/kt,2024
electricity,all-week,early-peak,all-year,R1,0.36190000000,3,MUS$2010/PJ,2024
gas,all-week,early-peak,all-year,R1,0.83820000000,3,MUS$2010/PJ,2024
heat,all-week,early-peak,all-year,R1,1.26670000000,3,MUS$2010/PJ,2024
CO2f,all-week,early-peak,all-year,R1,46.38670000000,3,MUS$2010/kt,2024
electricity,all-week,late-peak,all-year,R1,0.76000000000,4,MUS$2010/PJ,2024
gas,all-week,late-peak,all-year,R1,1.76030000000,4,MUS$2010/PJ,2024
heat,all-week,late-peak,all-year,R1,2.66000000000,4,MUS$2010/PJ,2024
CO2f,all-week,late-peak,all-year,R1,97.41210000000,4,MUS$2010/kt,2024
electricity,all-week,evening,all-year,R1,0.50670000000,5,MUS$2010/PJ,2024
gas,all-week,evening,all-year,R1,1.17350000000,5,MUS$2010/PJ,2024
heat,all-week,evening,all-year,R1,1.77330000000,5,MUS$2010/PJ,2024
CO2f,all-week,evening,all-year,R1,64.94140000000,5,MUS$2010/kt,2024
electricity,all-week,early-morning,all-year,R1,0.50670000000,6,MUS$2010/PJ,2024
gas,all-week,early-morning,all-year,R1,1.17350000000,6,MUS$2010/PJ,2024
heat,all-week,early-morning,all-year,R1,1.77330000000,6,MUS$2010/PJ,2024
CO2f,all-week,early-morning,all-year,R1,64.94140000000,6,MUS$2010/kt,2024
electricity,all-week,late-afternoon,all-year,R1,0.50670000000,7,MUS$2010/PJ,2024
gas,all-week,late-afternoon,all-year,R1,1.17350000000,7,MUS$2010/PJ,2024
heat,all-week,late-afternoon,all-year,R1,1.77330000000,7,MUS$2010/PJ,2024
CO2f,all-week,late-afternoon,all-year,R1,64.94140000000,7,MUS$2010/kt,2024
electricity,all-week,night,all-year,R1,0.32380000000,0,MUS$2010/PJ,2026
gas,all-week,night,all-year,R1,0.61490000000,0,MUS$2010/PJ,2026
heat,all-week,night,all-year,R1,0.98000000000,0,MUS$2010/PJ,2026
CO2f,all-week,night,all-year,R1,33.92880000000,0,MUS$2010/kt,2026
electricity,all-week,morning,all-year,R1,0.46260000000,1,MUS$2010/PJ,2026
gas,all-week,morning,all-year,R1,0.87840000000,1,MUS$2010/PJ,2026
heat,all-week,morning,all-year,R1,1.40000000000,1,MUS$2010/PJ,2026
CO2f,all-week,morning,all-year,R1,48.46970000000,1,MUS$2010/kt,2026
electricity,all-week,mid-afternoon,all-year,R1,0.32380000000,2,MUS$2010/PJ,2026
gas,all-week,mid-afternoon,all-year,R1,0.61490000000,2,MUS$2010/PJ,2026
heat,all-week,mid-afternoon,all-year,R1,0.98000000000,2,MUS$2010/PJ,2026
CO2f,all-week,mid-afternoon,all-year,R1,33.92880000000,2,MUS$2010/kt,2026
electricity,all-week,early-peak,all-year,R1,0.46260000000,3,MUS$2010/PJ,2026
gas,all-week,early-peak,all-year,R1,0.87840000000,3,MUS$2010/PJ,2026
heat,all-week,early-peak,all-year,R1,1.40000000000,3,MUS$2010/PJ,2026
CO2f,all-week,early-peak,all-year,R1,48.46970000000,3,MUS$2010/kt,2026
electricity,all-week,late-peak,all-year,R1,0.97150000000,4,MUS$2010/PJ,2026
gas,all-week,late-peak,all-year,R1,1.84470000000,4,MUS$2010/PJ,2026
heat,all-week,late-peak,all-year,R1,2.94000000000,4,MUS$2010/PJ,2026
CO2f,all-week,late-peak,all-year,R1,101.78640000000,4,MUS$2010/kt,2026
electricity,all-week,evening,all-year,R1,0.64770000000,5,MUS$2010/PJ,2026
gas,all-week,evening,all-year,R1,1.22980000000,5,MUS$2010/PJ,2026
heat,all-week,evening,all-year,R1,1.96000000000,5,MUS$2010/PJ,2026
CO2f,all-week,evening,all-year,R1,67.85760000000,5,MUS$2010/kt,2026
electricity,all-week,early-morning,all-year,R1,0.64770000000,6,MUS$2010/PJ,2026
gas,all-week,early-morning,all-year,R1,1.22980000000,6,MUS$2010/PJ,2026
heat,all-week,early-morning,all-year,R1,1.96000000000,6,MUS$2010/PJ,2026
CO2f,all-week,early-morning,all-year,R1,67.85760000000,6,MUS$2010/kt,2026
electricity,all-week,late-afternoon,all-year,R1,0.64770000000,7,MUS$2010/PJ,2026
gas,all-week,late-afternoon,all-year,R1,1.22980000000,7,MUS$2010/PJ,2026
heat,all-week,late-afternoon,all-year,R1,1.96000000000,7,MUS$2010/PJ,2026
CO2f,all-week,late-afternoon,all-year,R1,67.85760000000,7,MUS$2010/kt,2026
