,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
62,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,29.11950000000
63,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
64,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
65,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
66,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
67,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
68,"('all-year', 'all-week', 'afternoon')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.30000000000
69,"('all-year', 'all-week', 'afternoon')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
70,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,19.41300000000
71,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
72,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
73,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
74,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
75,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
76,"('all-year', 'all-week', 'early-peak')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.45000000000
77,"('all-year', 'all-week', 'early-peak')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
78,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,29.11950000000
79,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
80,"('all-year', 'all-week', 'late-peak')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
81,"('all-year', 'all-week', 'late-peak')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
82,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
83,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
84,"('all-year', 'all-week', 'late-peak')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.90000000000
85,"('all-year', 'all-week', 'late-peak')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
86,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,58.23900000000
87,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
88,"('all-year', 'all-week', 'evening')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
89,"('all-year', 'all-week', 'evening')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
90,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.00000000000
91,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
92,"('all-year', 'all-week', 'evening')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,0.60000000000
93,"('all-year', 'all-week', 'evening')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
94,"('all-year', 'all-week', 'evening')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A2,retrofit,residential,38.82600000000
95,"('all-year', 'all-week', 'evening')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A2,retrofit,residential,0.00000000000
96,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
97,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,windturbine,2020.00000000000,A1,retrofit,power,0.00000000000
98,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasCCGT,2020.00000000000,A1,retrofit,power,0.00000000000
