asset,commodity,day,hour,installed,month,region,supply,technology,timeslice,year
2,heat,all-week,late-peak,2020,all-year,R2,1.50000000000,gasboiler,4,2020
0,CO2f,all-week,late-peak,2020,all-year,R1,97.06500000000,gasboiler,4,2020
2,CO2f,all-week,late-peak,2020,all-year,R1,97.06500000000,gasboiler,4,2020
0,CO2f,all-week,late-peak,2020,all-year,R2,97.06500000000,gasboiler,4,2020
2,CO2f,all-week,late-peak,2020,all-year,R2,97.06500000000,gasboiler,4,2020
0,heat,all-week,evening,2020,all-year,R1,1.00000000000,gasboiler,5,2020
2,heat,all-week,evening,2020,all-year,R1,1.00000000000,gasboiler,5,2020
0,heat,all-week,evening,2020,all-year,R2,1.00000000000,gasboiler,5,2020
2,heat,all-week,evening,2020,all-year,R2,1.00000000000,gasboiler,5,2020
0,CO2f,all-week,evening,2020,all-year,R1,64.71000000000,gasboiler,5,2020
2,CO2f,all-week,evening,2020,all-year,R1,64.71000000000,gasboiler,5,2020
0,CO2f,all-week,evening,2020,all-year,R2,64.71000000000,gasboiler,5,2020
2,CO2f,all-week,evening,2020,all-year,R2,64.71000000000,gasboiler,5,2020
0,heat,all-week,night,2020,all-year,R1,0.13890000000,gasboiler,0,2025
1,heat,all-week,night,2020,all-year,R1,0.52780000000,heatpump,0,2025
3,heat,all-week,night,2020,all-year,R1,0.55560000000,gasboiler,0,2025
5,heat,all-week,night,2020,all-year,R1,0.11110000000,heatpump,0,2025
0,heat,all-week,night,2020,all-year,R2,0.13890000000,gasboiler,0,2025
1,heat,all-week,night,2020,all-year,R2,0.52780000000,heatpump,0,2025
3,heat,all-week,night,2020,all-year,R2,0.55560000000,gasboiler,0,2025
5,heat,all-week,night,2020,all-year,R2,0.11110000000,heatpump,0,2025
0,CO2f,all-week,night,2020,all-year,R1,8.98750000000,gasboiler,0,2025
3,CO2f,all-week,night,2020,all-year,R1,35.95000000000,gasboiler,0,2025
0,CO2f,all-week,night,2020,all-year,R2,8.98750000000,gasboiler,0,2025
3,CO2f,all-week,night,2020,all-year,R2,35.95000000000,gasboiler,0,2025
0,heat,all-week,morning,2020,all-year,R1,0.20830000000,gasboiler,1,2025
1,heat,all-week,morning,2020,all-year,R1,0.79170000000,heatpump,1,2025
3,heat,all-week,morning,2020,all-year,R1,0.83330000000,gasboiler,1,2025
5,heat,all-week,morning,2020,all-year,R1,0.16670000000,heatpump,1,2025
0,heat,all-week,morning,2020,all-year,R2,0.20830000000,gasboiler,1,2025
1,heat,all-week,morning,2020,all-year,R2,0.79170000000,heatpump,1,2025
3,heat,all-week,morning,2020,all-year,R2,0.83330000000,gasboiler,1,2025
5,heat,all-week,morning,2020,all-year,R2,0.16670000000,heatpump,1,2025
0,CO2f,all-week,morning,2020,all-year,R1,13.48120000000,gasboiler,1,2025
3,CO2f,all-week,morning,2020,all-year,R1,53.92500000000,gasboiler,1,2025
0,CO2f,all-week,morning,2020,all-year,R2,13.48120000000,gasboiler,1,2025
3,CO2f,all-week,morning,2020,all-year,R2,53.92500000000,gasboiler,1,2025
0,heat,all-week,afternoon,2020,all-year,R1,0.13890000000,gasboiler,2,2025
1,heat,all-week,afternoon,2020,all-year,R1,0.52780000000,heatpump,2,2025
3,heat,all-week,afternoon,2020,all-year,R1,0.55560000000,gasboiler,2,2025
5,heat,all-week,afternoon,2020,all-year,R1,0.11110000000,heatpump,2,2025
0,heat,all-week,afternoon,2020,all-year,R2,0.13890000000,gasboiler,2,2025
1,heat,all-week,afternoon,2020,all-year,R2,0.52780000000,heatpump,2,2025
3,heat,all-week,afternoon,2020,all-year,R2,0.55560000000,gasboiler,2,2025
5,heat,all-week,afternoon,2020,all-year,R2,0.11110000000,heatpump,2,2025
0,CO2f,all-week,afternoon,2020,all-year,R1,8.98750000000,gasboiler,2,2025
3,CO2f,all-week,afternoon,2020,all-year,R1,35.95000000000,gasboiler,2,2025
0,CO2f,all-week,afternoon,2020,all-year,R2,8.98750000000,gasboiler,2,2025
3,CO2f,all-week,afternoon,2020,all-year,R2,35.95000000000,gasboiler,2,2025
0,heat,all-week,early-peak,2020,all-year,R1,0.20830000000,gasboiler,3,2025
1,heat,all-week,early-peak,2020,all-year,R1,0.79170000000,heatpump,3,2025
3,heat,all-week,early-peak,2020,all-year,R1,0.83330000000,gasboiler,3,2025
5,heat,all-week,early-peak,2020,all-year,R1,0.16670000000,heatpump,3,2025
0,heat,all-week,early-peak,2020,all-year,R2,0.20830000000,gasboiler,3,2025
1,heat,all-week,early-peak,2020,all-year,R2,0.79170000000,heatpump,3,2025
3,heat,all-week,early-peak,2020,all-year,R2,0.83330000000,gasboiler,3,2025
5,heat,all-week,early-peak,2020,all-year,R2,0.16670000000,heatpump,3,2025
0,CO2f,all-week,early-peak,2020,all-year,R1,13.48120000000,gasboiler,3,2025
3,CO2f,all-week,early-peak,2020,all-year,R1,53.92500000000,gasboiler,3,2025
0,CO2f,all-week,early-peak,2020,all-year,R2,13.48120000000,gasboiler,3,2025
3,CO2f,all-week,early-peak,2020,all-year,R2,53.92500000000,gasboiler,3,2025
0,heat,all-week,late-peak,2020,all-year,R1,0.41670000000,gasboiler,4,2025
1,heat,all-week,late-peak,2020,all-year,R1,1.58330000000,heatpump,4,2025
3,heat,all-week,late-peak,2020,all-year,R1,1.66670000000,gasboiler,4,2025
5,heat,all-week,late-peak,2020,all-year,R1,0.33330000000,heatpump,4,2025
0,heat,all-week,late-peak,2020,all-year,R2,0.41670000000,gasboiler,4,2025
1,heat,all-week,late-peak,2020,all-year,R2,1.58330000000,heatpump,4,2025
3,heat,all-week,late-peak,2020,all-year,R2,1.66670000000,gasboiler,4,2025
5,heat,all-week,late-peak,2020,all-year,R2,0.33330000000,heatpump,4,2025
0,CO2f,all-week,late-peak,2020,all-year,R1,26.96250000000,gasboiler,4,2025
3,CO2f,all-week,late-peak,2020,all-year,R1,107.85000000000,gasboiler,4,2025
0,CO2f,all-week,late-peak,2020,all-year,R2,26.96250000000,gasboiler,4,2025
3,CO2f,all-week,late-peak,2020,all-year,R2,107.85000000000,gasboiler,4,2025
0,heat,all-week,evening,2020,all-year,R1,0.27780000000,gasboiler,5,2025
1,heat,all-week,evening,2020,all-year,R1,1.05560000000,heatpump,5,2025
3,heat,all-week,evening,2020,all-year,R1,1.11110000000,gasboiler,5,2025
5,heat,all-week,evening,2020,all-year,R1,0.22220000000,heatpump,5,2025
0,heat,all-week,evening,2020,all-year,R2,0.27780000000,gasboiler,5,2025
1,heat,all-week,evening,2020,all-year,R2,1.05560000000,heatpump,5,2025
