commodity,day,hour,month,prices,region,timeslice,units_prices,year
wind,all-week,late-afternoon,all-year,0.0000,r1,7,MUS$2010/PJ,2040
CO2f,all-week,late-afternoon,all-year,0.2728,r1,7,MUS$2010/kt,2040
electricity,all-week,night,all-year,11.9372,r1,0,MUS$2010/PJ,2045
gas,all-week,night,all-year,2.5500,r1,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,7.5833,r1,0,MUS$2010/PJ,2045
wind,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2045
CO2f,all-week,night,all-year,0.3539,r1,0,MUS$2010/kt,2045
electricity,all-week,morning,all-year,12.5385,r1,1,MUS$2010/PJ,2045
gas,all-week,morning,all-year,2.5500,r1,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,8.0346,r1,1,MUS$2010/PJ,2045
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2045
CO2f,all-week,morning,all-year,0.3539,r1,1,MUS$2010/kt,2045
electricity,all-week,mid-afternoon,all-year,11.9372,r1,2,MUS$2010/PJ,2045
gas,all-week,mid-afternoon,all-year,2.5500,r1,2,MUS$2010/PJ,2045
heat,all-week,mid-afternoon,all-year,7.5833,r1,2,MUS$2010/PJ,2045
wind,all-week,mid-afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2045
CO2f,all-week,mid-afternoon,all-year,0.3539,r1,2,MUS$2010/kt,2045
electricity,all-week,early-peak,all-year,12.5385,r1,3,MUS$2010/PJ,2045
gas,all-week,early-peak,all-year,2.5500,r1,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,8.0346,r1,3,MUS$2010/PJ,2045
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2045
CO2f,all-week,early-peak,all-year,0.3539,r1,3,MUS$2010/kt,2045
electricity,all-week,late-peak,all-year,34.2205,r1,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,2.5500,r1,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,14.1652,r1,4,MUS$2010/PJ,2045
wind,all-week,late-peak,all-year,0.0000,r1,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,0.3539,r1,4,MUS$2010/kt,2045
electricity,all-week,evening,all-year,12.9394,r1,5,MUS$2010/PJ,2045
gas,all-week,evening,all-year,2.5500,r1,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,8.3355,r1,5,MUS$2010/PJ,2045
wind,all-week,evening,all-year,0.0000,r1,5,MUS$2010/PJ,2045
CO2f,all-week,evening,all-year,0.3539,r1,5,MUS$2010/kt,2045
electricity,all-week,early-morning,all-year,12.9394,r1,6,MUS$2010/PJ,2045
gas,all-week,early-morning,all-year,2.5500,r1,6,MUS$2010/PJ,2045
heat,all-week,early-morning,all-year,8.3355,r1,6,MUS$2010/PJ,2045
wind,all-week,early-morning,all-year,0.0000,r1,6,MUS$2010/PJ,2045
CO2f,all-week,early-morning,all-year,0.3539,r1,6,MUS$2010/kt,2045
electricity,all-week,late-afternoon,all-year,12.9394,r1,7,MUS$2010/PJ,2045
gas,all-week,late-afternoon,all-year,2.5500,r1,7,MUS$2010/PJ,2045
heat,all-week,late-afternoon,all-year,8.3355,r1,7,MUS$2010/PJ,2045
