technology,dst_region,region,agent,sector,type,year,capacity
solarPV,R1,R1,A2,power,newcapa,2035,1.50000000000
gassupply1,R1,R1,A1,gas,newcapa,2035,1.38670000000
gassupply1,R1,R1,A1,gas,newcapa,2035,5.99670000000
gassupply1,R1,R1,A1,gas,newcapa,2035,4.76210000000
gassupply1,R1,R1,A2,gas,newcapa,2035,1.38670000000
gassupply1,R1,R1,A2,gas,newcapa,2035,5.99670000000
gassupply1,R1,R1,A2,gas,newcapa,2035,4.76210000000
heatpump,R1,R1,A1,residential,newcapa,2040,12.50000000000
heatpump,R1,R1,A1,residential,newcapa,2040,8.50000000000
heatpump,R1,R1,A2,residential,newcapa,2040,12.50000000000
heatpump,R1,R1,A2,residential,newcapa,2040,8.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2040,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2040,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2040,1.50000000000
solarPV,R1,R1,A1,power,newcapa,2040,3.00000000000
gasCCGT,R1,R1,A2,power,newcapa,2040,1.86110000000
gasCCGT,R1,R1,A2,power,newcapa,2040,4.80560000000
solarPV,R1,R1,A2,power,newcapa,2040,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2040,3.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2040,1.38670000000
gassupply1,R1,R1,A1,gas,newcapa,2040,5.99670000000
gassupply1,R1,R1,A1,gas,newcapa,2040,4.76210000000
gassupply1,R1,R1,A2,gas,newcapa,2040,1.38670000000
gassupply1,R1,R1,A2,gas,newcapa,2040,5.99670000000
gassupply1,R1,R1,A2,gas,newcapa,2040,4.76210000000
heatpump,R1,R1,A1,residential,newcapa,2045,8.50000000000
heatpump,R1,R1,A1,residential,newcapa,2045,15.50000000000
heatpump,R1,R1,A2,residential,newcapa,2045,8.50000000000
heatpump,R1,R1,A2,residential,newcapa,2045,15.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2045,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2045,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2045,1.50000000000
solarPV,R1,R1,A1,power,newcapa,2045,3.00000000000
solarPV,R1,R1,A1,power,newcapa,2045,3.00000000000
gasCCGT,R1,R1,A2,power,newcapa,2045,1.86110000000
gasCCGT,R1,R1,A2,power,newcapa,2045,4.80560000000
solarPV,R1,R1,A2,power,newcapa,2045,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2045,3.00000000000
solarPV,R1,R1,A2,power,newcapa,2045,3.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2045,1.38670000000
gassupply1,R1,R1,A1,gas,newcapa,2045,5.99670000000
gassupply1,R1,R1,A1,gas,newcapa,2045,4.76210000000
gassupply1,R1,R1,A2,gas,newcapa,2045,1.38670000000
gassupply1,R1,R1,A2,gas,newcapa,2045,5.99670000000
gassupply1,R1,R1,A2,gas,newcapa,2045,4.76210000000
heatpump,R1,R1,A1,residential,newcapa,2050,15.50000000000
heatpump,R1,R1,A1,residential,newcapa,2050,11.50000000000
heatpump,R1,R1,A2,residential,newcapa,2050,15.50000000000
heatpump,R1,R1,A2,residential,newcapa,2050,11.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2050,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2050,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2050,1.50000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.00000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.00000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.00000000000
gasCCGT,R1,R1,A2,power,newcapa,2050,1.86110000000
gasCCGT,R1,R1,A2,power,newcapa,2050,4.80560000000
solarPV,R1,R1,A2,power,newcapa,2050,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.00000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.00000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2050,1.38670000000
gassupply1,R1,R1,A1,gas,newcapa,2050,5.99670000000
gassupply1,R1,R1,A1,gas,newcapa,2050,4.76210000000
gassupply1,R1,R1,A2,gas,newcapa,2050,1.38670000000
gassupply1,R1,R1,A2,gas,newcapa,2050,5.99670000000
gassupply1,R1,R1,A2,gas,newcapa,2050,4.76210000000
