commodity,day,hour,month,region,supply,timeslice,units_prices,year
CO2f,all-week,afternoon,all-year,r1,86.2800,2,MUS$2010/kt,2045
electricity,all-week,early-peak,all-year,r1,0.8000,3,MUS$2010/PJ,2045
gas,all-week,early-peak,all-year,r1,2.3200,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,r1,4.0000,3,MUS$2010/PJ,2045
CO2f,all-week,early-peak,all-year,r1,129.4200,3,MUS$2010/kt,2045
electricity,all-week,late-peak,all-year,r1,1.6000,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,r1,4.6400,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,r1,8.0000,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,r1,258.8400,4,MUS$2010/kt,2045
electricity,all-week,evening,all-year,r1,1.0667,5,MUS$2010/PJ,2045
gas,all-week,evening,all-year,r1,3.0933,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,r1,5.3333,5,MUS$2010/PJ,2045
CO2f,all-week,evening,all-year,r1,172.5600,5,MUS$2010/kt,2045
electricity,all-week,night,all-year,r1,0.6000,0,MUS$2010/PJ,2050
gas,all-week,night,all-year,r1,1.7400,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,r1,3.0000,0,MUS$2010/PJ,2050
CO2f,all-week,night,all-year,r1,97.0650,0,MUS$2010/kt,2050
electricity,all-week,morning,all-year,r1,0.9000,1,MUS$2010/PJ,2050
gas,all-week,morning,all-year,r1,2.6100,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,r1,4.5000,1,MUS$2010/PJ,2050
CO2f,all-week,morning,all-year,r1,145.5975,1,MUS$2010/kt,2050
electricity,all-week,afternoon,all-year,r1,0.6000,2,MUS$2010/PJ,2050
gas,all-week,afternoon,all-year,r1,1.7400,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,r1,3.0000,2,MUS$2010/PJ,2050
CO2f,all-week,afternoon,all-year,r1,97.0650,2,MUS$2010/kt,2050
electricity,all-week,early-peak,all-year,r1,0.9000,3,MUS$2010/PJ,2050
gas,all-week,early-peak,all-year,r1,2.6100,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,r1,4.5000,3,MUS$2010/PJ,2050
CO2f,all-week,early-peak,all-year,r1,145.5975,3,MUS$2010/kt,2050
electricity,all-week,late-peak,all-year,r1,1.8000,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,r1,5.2200,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,r1,9.0000,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,r1,291.1950,4,MUS$2010/kt,2050
electricity,all-week,evening,all-year,r1,1.2000,5,MUS$2010/PJ,2050
gas,all-week,evening,all-year,r1,3.4800,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,r1,6.0000,5,MUS$2010/PJ,2050
CO2f,all-week,evening,all-year,r1,194.1300,5,MUS$2010/kt,2050
