month,day,hour,technology,installed,supply
all-year,all-week,early-morning,heatpump,2038,0.33500000000
all-year,all-week,early-morning,heatpump,2030,0.54440000000
all-year,all-week,early-morning,heatpump,2032,0.25130000000
all-year,all-week,early-morning,heatpump,2034,0.25130000000
all-year,all-week,early-morning,heatpump,2036,0.25130000000
all-year,all-week,early-morning,heatpump,2038,0.33500000000
all-year,all-week,early-morning,heatpump,2032,0.25270000000
all-year,all-week,early-morning,heatpump,2034,0.25270000000
all-year,all-week,early-morning,heatpump,2036,0.25270000000
all-year,all-week,early-morning,heatpump,2038,0.33690000000
all-year,all-week,early-morning,heatpump,2040,0.63170000000
all-year,all-week,early-morning,heatpump,2032,0.25270000000
all-year,all-week,early-morning,heatpump,2034,0.25270000000
all-year,all-week,early-morning,heatpump,2036,0.25270000000
all-year,all-week,early-morning,heatpump,2038,0.33690000000
all-year,all-week,early-morning,heatpump,2040,0.63170000000
all-year,all-week,late-afternoon,heatpump,2030,0.54440000000
all-year,all-week,late-afternoon,heatpump,2032,0.25130000000
all-year,all-week,late-afternoon,heatpump,2034,0.25130000000
all-year,all-week,late-afternoon,heatpump,2036,0.25130000000
all-year,all-week,late-afternoon,heatpump,2038,0.33500000000
all-year,all-week,late-afternoon,heatpump,2030,0.54440000000
all-year,all-week,late-afternoon,heatpump,2032,0.25130000000
all-year,all-week,late-afternoon,heatpump,2034,0.25130000000
all-year,all-week,late-afternoon,heatpump,2036,0.25130000000
all-year,all-week,late-afternoon,heatpump,2038,0.33500000000
all-year,all-week,late-afternoon,heatpump,2032,0.25270000000
all-year,all-week,late-afternoon,heatpump,2034,0.25270000000
all-year,all-week,late-afternoon,heatpump,2036,0.25270000000
all-year,all-week,late-afternoon,heatpump,2038,0.33690000000
all-year,all-week,late-afternoon,heatpump,2040,0.63170000000
all-year,all-week,late-afternoon,heatpump,2032,0.25270000000
all-year,all-week,late-afternoon,heatpump,2034,0.25270000000
all-year,all-week,late-afternoon,heatpump,2036,0.25270000000
all-year,all-week,late-afternoon,heatpump,2038,0.33690000000
all-year,all-week,late-afternoon,heatpump,2040,0.63170000000
all-year,all-week,late-afternoon,heatpump,2030,0.54440000000
all-year,all-week,late-afternoon,heatpump,2032,0.25130000000
all-year,all-week,late-afternoon,heatpump,2034,0.25130000000
all-year,all-week,late-afternoon,heatpump,2036,0.25130000000
all-year,all-week,late-afternoon,heatpump,2038,0.33500000000
all-year,all-week,late-afternoon,heatpump,2030,0.54440000000
all-year,all-week,late-afternoon,heatpump,2032,0.25130000000
all-year,all-week,late-afternoon,heatpump,2034,0.25130000000
all-year,all-week,late-afternoon,heatpump,2036,0.25130000000
all-year,all-week,late-afternoon,heatpump,2038,0.33500000000
all-year,all-week,late-afternoon,heatpump,2032,0.25270000000
all-year,all-week,late-afternoon,heatpump,2034,0.25270000000
all-year,all-week,late-afternoon,heatpump,2036,0.25270000000
all-year,all-week,late-afternoon,heatpump,2038,0.33690000000
all-year,all-week,late-afternoon,heatpump,2040,0.63170000000
all-year,all-week,late-afternoon,heatpump,2032,0.25270000000
all-year,all-week,late-afternoon,heatpump,2034,0.25270000000
all-year,all-week,late-afternoon,heatpump,2036,0.25270000000
all-year,all-week,late-afternoon,heatpump,2038,0.33690000000
all-year,all-week,late-afternoon,heatpump,2040,0.63170000000
