technology,dst_region,region,agent,sector,type,year,capacity
gasCCGT,R1,R1,A1,power,newcapa,2050,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2050,0.50000000000
solarPV,R1,R1,A1,power,newcapa,2050,2.50000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.25000000000
solarPV,R1,R1,A1,power,newcapa,2050,3.00000000000
windturbine,R1,R1,A1,power,newcapa,2050,0.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,10.00000000000
solarPV,R1,R1,A2,power,newcapa,2050,1.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.50000000000
solarPV,R1,R1,A2,power,newcapa,2050,3.25000000000
solarPV,R1,R1,A2,power,newcapa,2050,6.59370000000
windturbine,R1,R1,A2,power,newcapa,2050,0.81250000000
gassupply1,R1,R1,A1,gas,newcapa,2050,1.81670000000
